Tabulka výsledků,Přiřazený link,,Správný link,Poznámka
http://psh.ntkcz.cz/skos/PSH12512,http://cs.wikipedia.org/wiki/Multithreading,1,,
http://psh.ntkcz.cz/skos/PSH762,http://cs.wikipedia.org/wiki/Moč,1,,
http://psh.ntkcz.cz/skos/PSH2042,http://cs.wikipedia.org/wiki/Nanotechnologie,1,,
http://psh.ntkcz.cz/skos/PSH11777,http://cs.wikipedia.org/wiki/Paste,0,,nesedí ani termín ani obor užití
http://psh.ntkcz.cz/skos/PSH155,http://cs.wikipedia.org/wiki/Rotundy,1,,
http://psh.ntkcz.cz/skos/PSH7952,http://cs.wikipedia.org/wiki/Bráhmanismus,1,,
http://psh.ntkcz.cz/skos/PSH8378,http://cs.wikipedia.org/wiki/Republika,1,,
http://psh.ntkcz.cz/skos/PSH6313,http://cs.wikipedia.org/wiki/Jedi,0,http://cs.wikipedia.org/wiki/Jed,
http://psh.ntkcz.cz/skos/PSH9195,http://cs.wikipedia.org/wiki/Psychologické směry,1,,
http://psh.ntkcz.cz/skos/PSH12760,http://cs.wikipedia.org/wiki/Dárcovství krve,1,,
http://psh.ntkcz.cz/skos/PSH1424,http://cs.wikipedia.org/wiki/Ekonomika,1,,
http://psh.ntkcz.cz/skos/PSH1009,http://cs.wikipedia.org/wiki/Znečištění vody,1,,
http://psh.ntkcz.cz/skos/PSH6489,http://cs.wikipedia.org/wiki/Referát,0,http://cs.wikipedia.org/wiki/Refer%C3%A1t_%28dokument%29,
http://psh.ntkcz.cz/skos/PSH479,http://cs.wikipedia.org/wiki/Slunce,1,,
http://psh.ntkcz.cz/skos/PSH3914,http://cs.wikipedia.org/wiki/Odstředivé zrychlení,1,,
http://psh.ntkcz.cz/skos/PSH4920,http://cs.wikipedia.org/wiki/Svor,1,,
http://psh.ntkcz.cz/skos/PSH1529,http://cs.wikipedia.org/wiki/Kapitalismus,1,,
http://psh.ntkcz.cz/skos/PSH767,http://cs.wikipedia.org/wiki/Rozmnožování,1,,
http://psh.ntkcz.cz/skos/PSH6608,http://cs.wikipedia.org/wiki/Teorie složitosti,1,,
http://psh.ntkcz.cz/skos/PSH7065,http://cs.wikipedia.org/wiki/Portugalská literatura,0,,na wiki heslo zatím neexistuje
http://psh.ntkcz.cz/skos/PSH4173,http://cs.wikipedia.org/wiki/Sníh,1,,
http://psh.ntkcz.cz/skos/PSH217,http://cs.wikipedia.org/wiki/Kuchyně,1,,
http://psh.ntkcz.cz/skos/PSH8242,http://cs.wikipedia.org/wiki/Maturita,1,,
http://psh.ntkcz.cz/skos/PSH8503,http://cs.wikipedia.org/wiki/Kolonialismus,1,,
http://psh.ntkcz.cz/skos/PSH13631,http://cs.wikipedia.org/wiki/Digitální fotografie,1,,
http://psh.ntkcz.cz/skos/PSH7799,http://cs.wikipedia.org/wiki/Starý zákon,1,,
http://psh.ntkcz.cz/skos/PSH893,http://cs.wikipedia.org/wiki/Entomologie,1,,
http://psh.ntkcz.cz/skos/PSH1281,http://cs.wikipedia.org/wiki/Cenné papíry,1,,
http://psh.ntkcz.cz/skos/PSH13671,http://cs.wikipedia.org/wiki/Metadata,1,,
http://psh.ntkcz.cz/skos/PSH4534,http://cs.wikipedia.org/wiki/Gejzíry,1,,
http://psh.ntkcz.cz/skos/PSH2125,http://cs.wikipedia.org/wiki/Polovodič,1,,
http://psh.ntkcz.cz/skos/PSH7886,http://cs.wikipedia.org/wiki/Ekumenismus,1,,
http://psh.ntkcz.cz/skos/PSH7650,http://cs.wikipedia.org/wiki/Hahnova-Banachova věta,1,,
http://psh.ntkcz.cz/skos/PSH8010,http://cs.wikipedia.org/wiki/Chlazení,1,,
http://psh.ntkcz.cz/skos/PSH11043,http://cs.wikipedia.org/wiki/Stěrače,1,,
http://psh.ntkcz.cz/skos/PSH12942,http://cs.wikipedia.org/wiki/Kardiologie,1,,
http://psh.ntkcz.cz/skos/PSH1275,http://cs.wikipedia.org/wiki/Nedokonalá konkurence,1,,
http://psh.ntkcz.cz/skos/PSH7084,http://cs.wikipedia.org/wiki/Sentimentalismus,"0,5",,"nejsem literární teoretik, takže si tím nejsem jistá, ale jak jsem tak hledala, tak to vypada, ze je toto heslo špatně zařazeno v PSH. V některých pramenech je sentimentalismus uveden jako podproud preromantismu, v jiných jako synonymum pro preromantismus"
http://psh.ntkcz.cz/skos/PSH304,http://cs.wikipedia.org/wiki/Veřejná prostranství,"0,5",http://cs.wikipedia.org/wiki/Ve%C5%99ejn%C3%A9_prostranstv%C3%AD, nebo http://cs.wikipedia.org/wiki/Prostranstv%C3%AD#Ve.C5.99ejn.C3.A1_prostranstv.C3.AD
http://psh.ntkcz.cz/skos/PSH9864,http://cs.wikipedia.org/wiki/Amplitudová modulace,1,,
http://psh.ntkcz.cz/skos/PSH8076,http://cs.wikipedia.org/wiki/Teorie,1,,
http://psh.ntkcz.cz/skos/PSH3744,http://cs.wikipedia.org/wiki/Refraktometrie,1,,
http://psh.ntkcz.cz/skos/PSH11645,http://cs.wikipedia.org/wiki/Rokoko,1,,
http://psh.ntkcz.cz/skos/PSH794,http://cs.wikipedia.org/wiki/Bazální metabolismus,1,,
http://psh.ntkcz.cz/skos/PSH12210,http://cs.wikipedia.org/wiki/Dělostřelectvo,1,,
http://psh.ntkcz.cz/skos/PSH1731,http://cs.wikipedia.org/wiki/Forfaiting,1,,
http://psh.ntkcz.cz/skos/PSH7953,http://cs.wikipedia.org/wiki/Hinduismus,1,,
http://psh.ntkcz.cz/skos/PSH3291,http://cs.wikipedia.org/wiki/Fyzika pevných látek,1,,
http://psh.ntkcz.cz/skos/PSH2993,http://cs.wikipedia.org/wiki/Aerostatický tlak,1,,
http://psh.ntkcz.cz/skos/PSH13858,http://cs.wikipedia.org/wiki/Astroglie,1,,
http://psh.ntkcz.cz/skos/PSH944,http://cs.wikipedia.org/wiki/Rakovci,1,,
http://psh.ntkcz.cz/skos/PSH13388,http://cs.wikipedia.org/wiki/Koně,1,,
http://psh.ntkcz.cz/skos/PSH7878,http://cs.wikipedia.org/wiki/Patristika,1,,
http://psh.ntkcz.cz/skos/PSH8475,http://cs.wikipedia.org/wiki/Tyranie,1,,
http://psh.ntkcz.cz/skos/PSH6949,http://cs.wikipedia.org/wiki/Dobrodružný román,1,,
http://psh.ntkcz.cz/skos/PSH2611,http://cs.wikipedia.org/wiki/Ontologie,1,,
http://psh.ntkcz.cz/skos/PSH2253,http://cs.wikipedia.org/wiki/Elektrické stroje,1,,
http://psh.ntkcz.cz/skos/PSH1138,http://cs.wikipedia.org/wiki/Parkoviště,1,,
http://psh.ntkcz.cz/skos/PSH6752,http://cs.wikipedia.org/wiki/Nizozemština,1,,
http://psh.ntkcz.cz/skos/PSH13826,http://cs.wikipedia.org/wiki/Chalupy,0,http://cs.wikipedia.org/wiki/Chalupa,
http://psh.ntkcz.cz/skos/PSH8619,http://cs.wikipedia.org/wiki/Kravské mléko,1,,
http://psh.ntkcz.cz/skos/PSH11806,http://cs.wikipedia.org/wiki/Užité umění,1,,
http://psh.ntkcz.cz/skos/PSH6453,http://cs.wikipedia.org/wiki/Adresář,"0,5",http://cs.wikipedia.org/wiki/Adres%C3%A1%C5%99_%28informatika%29,
http://psh.ntkcz.cz/skos/PSH6437,http://cs.wikipedia.org/wiki/Benzin,1,,
